@relation covid_cases

@attribute id numeric
@attribute Date date 'yyyy-MM-dd'
@attribute phu_name {'ALGOMA DISTRICT','BRANT COUNTY','CHATHAM-KENT','CITY OF HAMILTON','CITY OF OTTAWA','DURHAM REGION','EASTERN ONTARIO','GREY BRUCE','HALDIMAND-NORFOLK','HALIBURTON, KAWARTHA, PINE RIDGE','HALTON REGION','HASTINGS & PRINCE EDWARD COUNTIES','HURON PERTH','KINGSTON, FRONTENAC, LENNOX & ADDINGTON','LAMBTON COUNTY','LEEDS, GRENVILLE AND LANARK DISTRICT',MIDDLESEX-LONDON,'NIAGARA REGION','NORTH BAY PARRY SOUND DISTRICT','NORTHWESTERN','OXFORD ELGIN-ST.THOMAS','PEEL REGION','PETERBOROUGH COUNTY-CITY','PORCUPINE','RENFREW COUNTY AND DISTRICT','SIMCOE MUSKOKA DISTRICT','SOUTHWESTERN','SUDBURY AND DISTRICT','THUNDER BAY DISTRICT','TIMISKAMING','TORONTO','UNKNOWN','WATERLOO REGION','WELLINGTON-DUFFERIN-GUELPH','WINDSOR-ESSEX COUNTY','YORK REGION'}
@attribute phu_num numeric
@attribute active_cases numeric
@attribute resolved_cases numeric
@attribute deaths numeric

@data
269,2020-04-08,'WATERLOO REGION',2265,99,76,3
270,2020-04-08,'WELLINGTON-DUFFERIN-GUELPH',2266,81,31,1
271,2020-04-08,'WINDSOR-ESSEX COUNTY',2268,142,54,5
272,2020-04-08,'YORK REGION',2270,282,212,19
273,2020-04-09,'ALGOMA DISTRICT',2226,2,7,0
274,2020-04-09,'BRANT COUNTY',2227,18,38,1
275,2020-04-09,'CHATHAM-KENT',2240,7,9,1
276,2020-04-09,'CITY OF HAMILTON',2237,74,112,6
277,2020-04-09,'CITY OF OTTAWA',2251,200,230,6
278,2020-04-09,'DURHAM REGION',2230,128,137,19
279,2020-04-09,'EASTERN ONTARIO',2258,21,29,0
280,2020-04-09,'GREY BRUCE',2233,16,12,0
281,2020-04-09,'HALDIMAND-NORFOLK',2234,71,18,9
282,2020-04-09,'HALIBURTON, KAWARTHA, PINE RIDGE',2235,24,68,18
283,2020-04-09,'HALTON REGION',2236,124,114,3
284,2020-04-09,'HASTINGS & PRINCE EDWARD COUNTIES',2238,12,11,1
285,2020-04-09,'HURON PERTH',5183,16,8,1
286,2020-04-09,'KINGSTON, FRONTENAC, LENNOX & ADDINGTON',2241,16,36,0
287,2020-04-09,'LAMBTON COUNTY',2242,63,22,8
288,2020-04-09,'LEEDS, GRENVILLE AND LANARK DISTRICT',2243,95,29,8
289,2020-04-09,'MIDDLESEX-LONDON',2244,109,46,7
290,2020-04-09,'NIAGARA REGION',2246,83,90,10
291,2020-04-09,'NORTH BAY PARRY SOUND DISTRICT',2247,2,4,0
292,2020-04-09,'NORTHWESTERN',2249,1,5,0
293,2020-04-09,'OXFORD ELGIN-ST.THOMAS',4913,12,12,2
294,2020-04-09,'PEEL REGION',2253,544,200,10
295,2020-04-09,'PETERBOROUGH COUNTY-CITY',2255,16,34,0
296,2020-04-09,'PORCUPINE',2256,17,14,2
297,2020-04-09,'RENFREW COUNTY AND DISTRICT',2257,3,6,1
298,2020-04-09,'SIMCOE MUSKOKA DISTRICT',2260,56,48,5
